id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 843.65 191.92 0.54228 0.21598 0.070361 25 0 5347 9.034 -2.3897
2 845.38 199.91 0.53468 0.16255 -0.11574 25 0 12569 21.433 -3.3277
3 552.97 326.55 0.53096 0.033695 0.012678 25 0 2777 4.725 -1.686
4 416.86 408.24 0.53557 0.19055 0.023152 25 0 1547 2.6408 -1.0543
5 352.26 460.36 0.54586 0.23406 -0.045835 25 0 8346.5 14.599 -2.9108
6 280.79 487.02 0.49574 0.17876 -0.030728 25 0 1307.5 2.3197 -0.91356
7 414.01 500.39 0.53385 0.18544 -0.01096 25 0 11339 19.928 -3.2486
8 5.8289 509.35 0.74559 -0.22965 -0.67989 25 0 936.52 1.0667 -0.07014
9 538.71 598.73 0.52666 0.022573 -0.15212 25 0 1010.9 1.1618 -0.1628
10 835.72 626.39 0.51371 0.18144 0.080713 25 0 633 1.2196 -0.21552
