id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 790.83 69.709 0.51038 0.15771 -0.24386 25 0 953.45 3.5618 -1.3792
2 1001.2 198.93 0.59047 0.064308 -0.14057 25 0 266.51 1.0795 -0.08304
3 625.96 219.14 0.67408 0.091341 -0.29012 25 0 218.09 1.0624 -0.065743
4 771.82 285.33 0.53596 0.032089 -0.11954 25 0 405.08 1.3653 -0.33807
5 268.2 321.02 0.59667 0.093839 -0.31778 25 0 1856.8 7.0522 -2.1208
6 642.18 378.37 0.67796 0.38148 -0.22955 25 0 272.82 1.0421 -0.044809
7 511.12 514.58 0.89732 -0.035637 -0.56731 25 0 2408.8 7.4488 -2.1802
8 760.39 744.96 0.57529 0.21478 -0.25892 25 0 521.82 1.8882 -0.69013
