id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 600.66 384.09 0.60235 0.051434 -0.037368 25 0 1410 3.6341 -1.401
2 454.86 661.32 0.52935 0.19953 0.47165 25 0 933.66 2.2132 -0.86257
3 730.12 672.14 0.60948 -0.2657 0.18467 25 0 426 1.0964 -0.099968
