id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 182.87 485.22 0.65068 0.064137 -0.060434 25 0 366.71 1.2909 -0.27725
2 516.2 511.96 0.42468 0.48925 0.55209 25 0 80575 257.31 -6.0261
3 531.17 581.67 0.53143 -0.037202 -0.053704 25 0 17683 63.733 -4.5109
4 506.02 687.94 0.53431 -0.0098543 -0.06034 25 0 4185.2 15.482 -2.9746
5 427.83 801.97 0.52294 0.12253 -0.078274 25 0 24423 75.316 -4.6922
6 422.13 806.12 0.54158 0.0019938 -0.033925 25 0 81427 262.78 -6.049
